time,lon,lat,depth,mag
2023-12-29T20:22:05.770000Z,-166.845667,53.863667,5.08,-0.03
2023-12-29T19:26:52.930000Z,-166.862667,53.873833,4.7,0.09
2023-12-29T19:20:01.712000Z,-172.579,51.4399,38.869,3.0
2023-12-29T19:18:41.280000Z,-166.853167,53.865333,5.81,-0.12
2023-12-29T19:18:20.371000Z,128.6381,-7.3765,154.099,4.5
2023-12-29T19:17:43.020000Z,-166.845333,53.866667,6.13,0.43
2023-12-29T18:03:47.470000Z,-166.8525,53.866167,5.9,0.23
2023-12-29T18:03:37.960000Z,-166.866833,53.877333,2.92,-0.12
2023-12-29T18:02:17.980000Z,-166.871167,53.8775,4.6,-0.57
2023-12-29T18:01:29.900000Z,-166.854333,53.865,5.94,0.63
2023-12-29T17:59:43.310000Z,-166.8565,53.862833,6.91,0.22
2023-12-29T17:53:59.136000Z,145.0069,19.0064,211.49,4.1
2023-12-29T17:21:32.483000Z,-169.105,52.8423,71.691,3.8
2023-12-29T17:19:57.110000Z,-178.743167,51.7055,17.3,1.42
2023-12-29T16:31:16.478000Z,96.5235,25.0911,10.0,5.0
2023-12-29T16:26:50.027000Z,121.8937,2.6211,556.561,4.4
2023-12-29T15:13:33.330000Z,-166.960667,53.880167,5.08,0.01
2023-12-29T15:07:28.586000Z,-177.5692,51.3031,35.0,2.6
2023-12-29T14:16:10.849000Z,148.9788,-9.4932,10.0,4.2
2023-12-29T14:13:57.533000Z,145.2178,20.4001,10.0,4.2
2023-12-29T13:27:32.540000Z,-177.185,51.946667,6.45,1.18
2023-12-29T13:20:23.584000Z,172.307,52.4184,10.0,4.1
2023-12-29T12:17:57.407000Z,-166.1412,53.367,35.0,3.2
2023-12-29T12:10:27.804000Z,-177.6441,51.3187,31.1,2.1
2023-12-29T11:43:47.667000Z,172.5519,52.332,10.0,3.7
2023-12-29T11:41:15.143000Z,-177.5025,51.5525,55.041,3.2
2023-12-29T10:29:32.017000Z,126.9004,6.7248,68.61,4.6
2023-12-29T08:32:27.340000Z,-177.207333,51.953667,4.26,0.21
2023-12-29T08:04:39.600000Z,-178.581167,51.758667,28.58,1.47
2023-12-29T07:44:27.621000Z,-175.9581,52.5427,215.901,3.2
2023-12-29T07:15:54.050000Z,-177.934667,51.862333,5.31,0.66
2023-12-29T07:14:52.733000Z,-176.1564,51.4213,23.1,1.8
2023-12-29T05:49:07.060000Z,-177.200167,51.974,6.26,0.81
2023-12-29T05:44:15.226000Z,141.8624,32.3311,10.0,4.2
2023-12-29T05:37:35.025000Z,-175.1346,51.1549,25.6,2.3
2023-12-29T04:52:57.545000Z,178.8664,51.7939,100.643,2.3
2023-12-29T04:43:40.059000Z,157.3953,53.9755,261.057,4.0
2023-12-29T04:38:54.026000Z,141.7204,32.3046,10.0,4.9
2023-12-29T04:04:44.479000Z,-172.2043,51.9306,35.0,3.0
2023-12-29T04:01:17.116000Z,-176.1689,51.4148,23.1,2.0
2023-12-29T03:39:12.080000Z,-179.8619,51.4374,60.2,2.4
2023-12-29T03:39:06.170000Z,-177.201667,51.914667,13.08,-0.34
2023-12-29T03:37:19.199000Z,155.0126,-6.9912,10.0,5.2
2023-12-29T03:17:48.179000Z,149.1838,44.4931,35.551,4.3
2023-12-29T03:15:57.302000Z,-174.187,52.5424,223.752,3.1
2023-12-29T02:11:13.261000Z,-175.4247,51.4088,25.5,2.2
2023-12-29T01:29:57.200000Z,-178.2243,51.3426,35.0,2.8
2023-12-29T01:11:22.106000Z,148.9388,44.4655,44.541,4.3
2023-12-29T01:09:21.140000Z,-177.278333,51.876333,8.63,-0.11
2023-12-29T00:34:01.346000Z,167.1985,-14.6795,114.713,4.4
2023-12-28T23:43:39.460000Z,-177.2355,51.949667,7.27,0.6
2023-12-28T23:23:28.871000Z,148.2248,-6.0599,72.584,4.8
2023-12-28T23:13:41.469000Z,-167.9022,53.1328,72.0,3.3
2023-12-28T22:48:26.484000Z,126.3562,1.156,47.743,4.6
2023-12-28T22:22:13.392000Z,139.1225,-2.253,32.261,4.2
2023-12-28T22:20:22.653000Z,-173.042,65.4898,14.8,2.6
2023-12-28T21:52:55.979000Z,167.1598,-13.7943,203.133,4.7
2023-12-28T20:35:56.817000Z,126.8191,9.2977,10.0,4.5
2023-12-28T18:27:28.843000Z,126.2781,8.3548,79.396,4.4
2023-12-28T16:42:27.123000Z,149.0321,44.4606,60.779,4.4
2023-12-28T16:10:52.660000Z,-176.1235,52.066333,-1.8,0.52
2023-12-28T16:10:27.756000Z,127.1915,8.3648,10.0,4.5
2023-12-28T15:48:33.019000Z,126.4999,8.5588,51.88,5.0
