Time,STF,STF+0.3,STF-0.3,JMA EEW, JMA – STF,FinDer2,FinDer2-STF,BEFORES,BEFORES-STF,PEGSNet (This study),PEGSNET – STF
215,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.02925077,0.067318331
216,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.046853353,0.084920914
217,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.000808335,0.038875896
218,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,8.974633918,0.012701479
219,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,8.959233139,-0.002699301
220,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.003091417,0.041158977
221,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.018398809,0.05646637
222,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.067333395,0.105400955
223,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.0851817,0.12324926
224,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.03641561,0.074483171
225,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.036862489,0.07493005
226,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.008827998,0.046895558
227,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,8.999680598,0.037748159
228,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.056130614,0.094198174
229,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.016184161,0.054251721
230,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,8.983368612,0.021436173
231,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.040030324,0.078097884
232,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.025537877,0.063605437
233,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.04576866,0.08383622
234,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.020264669,0.058332229
235,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.012992616,0.051060177
236,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.027292547,0.065360107
237,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.028618839,0.0666864
238,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.04422887,0.08229643
239,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.088438463,0.126506023
240,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.070592489,0.108660049
241,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,8.98445314,0.0225207
242,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.018611425,0.056678985
243,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.01089419,0.048961751
244,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,8.988020318,0.026087878
245,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.073304766,0.111372326
246,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.082815914,0.120883475
247,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.097592416,0.135659977
248,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.112285025,0.150352585
249,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.073702466,0.111770027
250,8.96193244,9.26193244,8.66193244,8.11907,-0.84286244,8.5,-0.46193244,8.98963,0.02769756,9.060546223,0.098613783
