time,lat,lon,dep,mag
2023-01-19T08:36:27.138000Z,53.4846,-163.6103,23.541,4.2
2023-01-13T11:04:46.021000Z,60.2539,-152.5011,87.7,4.0
2023-01-10T19:42:02.909000Z,54.6782,-156.8589,20.0,5.0
2023-01-08T18:11:46.508000Z,60.2086,-152.4404,87.6,4.1
2023-01-08T10:22:40.059000Z,53.2111,-164.3873,22.163,4.8
2023-01-02T00:50:10.984000Z,52.3274,-168.3055,28.684,4.3
2022-12-31T06:13:27.075000Z,54.8937,-160.2952,39.134,4.6
2022-12-26T20:02:26.134000Z,59.6913,-152.7955,88.5,4.0
2022-12-25T13:27:37.116000Z,53.5336,-164.9523,35.0,4.4
2022-12-24T20:48:58.541000Z,52.7638,-166.7293,18.047,4.6
2022-12-22T10:46:21.890000Z,56.1993,-153.2198,9.5,4.5
2022-12-21T08:50:49.870000Z,53.9108,-160.8635,12.754,4.9
2022-12-18T05:38:24.113000Z,59.8391,-153.2934,120.2,4.0
2022-12-16T03:09:52.656000Z,52.4428,-174.2394,156.678,4.2
2022-12-12T15:02:53.748000Z,51.6416,-175.2373,49.679,4.0
2022-12-12T08:09:01.511000Z,59.2779,-150.6426,36.7,4.7
2022-12-11T19:45:20.300000Z,52.613,-166.9234,10.0,4.0
2022-12-08T10:17:02.283000Z,51.6264,-175.4385,56.647,4.3
2022-12-05T15:33:46.057000Z,51.6633,-175.3849,51.908,4.8
2022-12-05T07:11:10.257000Z,52.28,-168.2723,10.0,4.9
2022-12-01T11:59:00.355000Z,53.1557,-166.8642,44.409,4.8
2022-12-01T05:21:07.831000Z,51.7112,-175.3004,48.985,4.2
2022-11-27T19:55:01.163000Z,51.5244,-175.6184,56.966,4.8
2022-11-25T07:58:48.460000Z,51.2186,-179.2667,35.0,4.3
2022-11-22T03:27:30.119000Z,52.3355,-168.1876,15.523,4.6
2022-11-21T15:09:29.135000Z,52.3364,-168.0685,0.8,5.5
2022-11-21T15:09:29.003000Z,52.2913,-168.1639,13.217,5.5
2022-11-20T14:35:33.581000Z,58.2445,-155.1783,4.2,4.03
2022-11-19T09:42:39.221000Z,51.8256,-177.9451,5.0,4.1
2022-11-18T00:03:09.832000Z,61.3504,-150.1678,42.9,4.9
2022-11-14T20:20:00.077000Z,55.714,-155.2602,10.0,4.0
2022-11-14T16:15:30.201000Z,52.1845,-178.5661,161.782,4.2
2022-11-13T09:20:47.823000Z,50.9958,-179.1367,35.0,4.7
2022-11-11T09:19:49.974000Z,62.5355,-150.9911,79.4,4.3
2022-11-09T16:57:12.481000Z,51.2419,-177.8712,35.462,4.0
2022-11-08T14:38:45.729000Z,52.4101,-179.4194,209.218,4.6
2022-11-08T00:00:25.118000Z,52.9263,-167.6687,43.864,4.5
2022-11-07T21:18:09.595000Z,51.6323,-175.3332,46.455,4.2
2022-11-07T20:45:52.423000Z,51.6013,-175.3342,35.0,4.1
2022-11-06T10:02:04.711000Z,51.5505,-175.9836,49.145,5.1
2022-11-06T01:11:43.830000Z,52.0645,-166.4471,10.0,4.5
2022-11-02T08:42:49.976000Z,51.6557,-175.3904,47.933,4.0
2022-10-31T04:02:17.694000Z,60.4327,-152.739,12.9,4.1
2022-10-29T19:43:14.057000Z,51.275,-174.1852,10.0,4.2
2022-10-29T19:41:32.219000Z,51.1904,-174.2006,16.676,4.7
2022-10-29T19:40:33.405000Z,51.2227,-174.239,18.086,4.5
2022-10-29T17:51:44.379000Z,52.6986,-175.1405,8.406,4.0
2022-10-29T17:44:48.531000Z,51.3834,-174.3143,41.461,4.0
2022-10-29T13:24:08.306000Z,51.3476,-174.3508,39.614,4.7
2022-10-29T04:53:52.898000Z,51.4346,-174.3759,46.251,4.0
2022-10-28T22:24:05.033000Z,51.321,-174.3736,35.0,4.1
2022-10-28T21:33:37.166000Z,51.2906,-174.2769,39.232,4.2
2022-10-26T16:25:29.652000Z,56.6844,-169.0544,11.919,4.7
2022-10-26T09:30:50.886000Z,54.8839,-160.267,39.721,4.9
2022-10-23T13:23:51.116000Z,55.4949,-157.1381,3.8,4.4
2022-10-22T05:02:35.125000Z,61.8178,-151.1006,68.3,4.4
2022-10-21T13:48:07.448000Z,51.449,-178.5445,66.323,4.2
2022-10-20T22:50:50.915000Z,51.3906,-174.4124,25.054,4.7
2022-10-17T06:20:37.549000Z,59.7369,-153.1277,106.6,4.3
2022-10-16T14:44:10.224000Z,51.0444,-179.2444,35.0,4.2
2022-10-16T14:39:20.233000Z,50.9371,-179.2038,10.0,4.6
2022-10-14T13:02:29.618000Z,61.1681,-151.9662,136.4,4.0
2022-10-13T03:22:01.044000Z,52.3498,-168.6204,37.781,4.1
2022-10-12T09:15:48.229000Z,55.4645,-157.1258,11.5,4.3
2022-10-12T08:34:58.933000Z,56.2039,-154.168,6.2,4.6
2022-10-11T22:07:33.655000Z,53.1584,-166.8917,44.173,4.7
2022-10-11T06:21:08.751000Z,52.5858,-170.0743,75.463,4.0
2022-10-11T02:16:34.102000Z,53.2279,-166.9298,50.736,4.4
2022-10-10T23:24:55.065000Z,54.7953,-159.6616,35.0,4.8
2022-10-10T16:00:56.961000Z,60.4369,-152.0469,83.7,4.4
2022-10-10T01:50:50.475000Z,54.5128,-159.7187,27.496,4.6
2022-10-10T00:54:03.208000Z,52.179,-170.4192,46.441,4.8
2022-10-09T21:20:36.127000Z,55.517,-157.0369,19.9,4.3
2022-10-09T03:44:37.516000Z,57.727,-155.9212,5.1,4.6
2022-10-09T00:44:07.674000Z,52.413,-170.5881,60.715,4.3
2022-10-07T11:57:38.908000Z,63.1484,-171.6263,10.034,4.0
2022-10-07T09:51:59.907000Z,52.2688,-170.5386,50.947,4.1
2022-10-05T22:16:48.866000Z,62.9792,-150.425,101.3,4.8
2022-10-05T03:28:15.975000Z,59.9628,-152.9287,120.1,4.6
2022-10-02T23:03:08.220000Z,59.4499,-154.4853,168.3,4.3
2022-10-02T23:03:06.975000Z,59.4694,-154.5665,171.963,4.6
2022-09-30T23:23:34.220000Z,60.4557,-152.764,13.1,4.1
2022-09-30T06:38:09.712000Z,52.4375,-169.5031,42.619,4.3
2022-09-30T01:20:12.479000Z,52.3477,-169.5087,42.889,4.6
2022-09-29T19:10:24.932000Z,55.0265,-159.5324,34.986,4.3
2022-09-22T18:30:11.489000Z,55.4767,-155.1621,33.0,4.0
2022-09-21T04:02:30.180000Z,62.9221,-150.7833,105.9,4.1
2022-09-20T08:37:38.782000Z,56.141,-156.4328,35.7,4.9
2022-09-19T21:43:34.982000Z,51.6097,-173.5759,38.997,4.0
2022-09-19T21:25:58.456000Z,52.9116,-161.0121,10.0,4.0
